Country Name,Country Code,Indicator Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,AGO,"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288778066.3,8591895991.1,9000344458.8,10059207810.7,10571384637.8,11292755787.9,11502043062.1,10545818707.6,9948274153,10784076259.7,10673241870.4,9763465564.4,8776917205,9109536718.7,9099850424.4,9786029392.2,12223970246.7,9890493322.8,11926824534.7,15496995033.1,20168132589.1,26595584910.9,33961146294.9,44255661238.7,54932638464.9,56932310475.5,56269410212,56814989137.4,50909556660.3,51911528673.4,52459519840.3
Central African Republic,CAF,"External debt stocks, total (DOD, current US$)",,,,,,,,,,24142239.5,28420020.5,36809736.2,56151760.7,68570794,79160192.1,94577875.7,131960067.2,142360554.6,157822458.1,194665446.9,233383987.6,253472380.5,257907897.6,263621787.4,343526726.1,461863128.5,617836345.5,668836055.3,693537146.4,698505035.4,794180184,813886188.5,875128942.6,888050750.8,945983160.3,932746933.3,882958613.1,918825268.8,924194362.5,869008795.3,834810718.1,1083576140.7,1064243826,1116732591.6,1044778987.1,1049101554.1,1029858389.6,998708752.1,550619216,634315034.6,571428762.2,577439209.4,597855245.3,661888475.4,730703975.1,735265570.8,762480729.6,819480894.5,880204018.4
Cote d'Ivoire,CIV,"External debt stocks, total (DOD, current US$)",,,,,,,,,,373548111.5,514353853.5,579832810.3,863195403.9,1066224826.3,1464541780.7,1827774833.5,2572851391.8,3835985363.7,4772153135.7,7462430659.4,8140846170.9,8961395038.8,8858429060,8545882464,9658933260.7,11449812391,13577082328.8,13342278908.3,14820639273.8,17251135160,18174037181.8,18546521961.1,19070886308.1,17395169456.9,18898425486.5,19523620342.2,15608687763.3,14851815127.1,13221902540.7,12059905375.8,11620368633.5,11708673980.2,11680518563.4,13178855340.3,12010684931.6,13644008874.8,14385487798.1,12967578597.9,14895852333.1,11703427489.9,12791036139.9,9543211323.6,9855282186.8,9804687583.5,11387731266.8,11457186653.5,13448932004.3,15653396130.7,19182287178.2
Algeria,DZA,"External debt stocks, total (DOD, current US$)",,,,,,,,,,939559305.4,1260807888.7,1549785827.5,2991368810.9,3365980296.4,4632815496.7,6114379902.6,10598959726.9,15733600491,18505548616.7,19363299072.8,18370318142.2,17639470178.6,16367488197.1,15890285871.5,18260741782.4,22649736536.7,24448828591.3,26101327226.2,27248503765.9,28153911739.3,28489965549.1,27351247767.3,26274665108.1,30239373924.7,33048876968.7,33651326322.4,30896804008.7,30686949509,28203525381.3,25461612754.1,22747999963,23038017583.3,23769718848.8,22415754059.3,17082006705.4,5899284213,6130383257.9,6240543720.9,7414292616.4,7252969908.9,6053727067.1,5515687723.5,5245600941,5521103961.6,4671321212.4,5462929063.8,5706735537.1,5710413690,5492302707.3
"Egypt, Arab Rep.",EGY,"External debt stocks, total (DOD, current US$)",,,,,,,,,,1801624657.4,2049117407.7,1952436870.5,1991608099.4,2209478866.4,4835420182,6357338118.1,11733540781.4,12857846527.8,14905845250.8,19130724407.9,22077857201.7,27323635750.8,30213012849.9,32187450012.1,36124676237.8,39891292452.4,44151539093.1,46148551466.9,45676111287.4,33015720171.3,32604272498.3,31168986021.5,30651243858.9,32499139580,33475216024.7,31512670142.2,29952913694.8,32347186890.4,31121616151.4,29232716500.9,28331673242.3,29671747582,30467606765.2,31403286339,30575696632.4,31025131832.6,34594605133.8,33911646196.5,35397684322.4,36775092025,35175105537.6,40028196098.1,46501579104.5,41741489490.1,49846045120.1,69163941956.8,84722482199.7,100186063063.6,115079598759.7
Kenya,KEN,"External debt stocks, total (DOD, current US$)",,,,,,,,,,477537524.6,497894895.5,581161178.6,844716764.7,1152688059,1290219777.3,1493325017.4,1658887244,2173728428.2,2720995167.7,3386803513.5,3228165912.1,3367814483.6,3628284465.8,3511509910.2,4181365915.7,4603589573.6,5783681917.2,5809644178.8,5889233567.6,7055158928.9,7453499318.4,6898195691.8,7111518961.1,7124419830.7,7309198401,6813721635.2,6465020215.1,6823161838.5,6524904617.7,6147150097.6,5495276586,6095869527.9,6715084650.7,6916593410.5,6489733475.8,6691670449.8,7549036617.4,7669044524.4,8558933886.8,8856240083.6,10155961500.5,11873346634.9,13798577600.5,16911889739.7,19776929996.7,21061327084.5,26197804743.9,30688081446.2,34217072395.4
Morocco,MAR,"External debt stocks, total (DOD, current US$)",,,,,,,,,,984947643.2,1127918127.3,1186041280.3,1287831261.9,1514192941.5,2659528434.8,3360845158.6,5610354070.3,6923305124.6,8207897716.9,9722119760.7,10579556345.6,12401132803.4,13037499587.9,13908382132.8,16056141868.2,17926477095.7,21029558180.4,21117139131,22230849930.6,25026523628.4,22503101421.1,22688198688.3,22114998128.9,22988012254.8,23785013677.9,24233330915.5,23501640856.4,23656729840.6,23059874272.6,20789667972.1,18898737529.4,18103630098.9,18336911799.5,17079479926.3,16304189232,17996441932,20732183141.9,21004994745.6,24725387884.3,27295707254.3,29967987911.7,33878312900.9,39299158002,43136898186.6,44391057518.2,47625940199.1,51150256427.5,50314049518.4,54967618609.9
Mauritius,MUS,"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,"External debt stocks, total (DOD, current US$)",,,,,,,,,,836680592.1,960364871.1,1081759364.5,1778977495.8,1880722152.3,1687175642.1,1337791872.3,3146444249.6,5091168447.7,6244582441.2,8938210283.3,11445499562.3,11992466650.3,17576996152.9,17783310906.8,18655375059.1,22215781653.5,29024891233.2,29624118543.4,30121991493,33458483418.1,33526931287.4,29018663727.6,30699263745.6,33092276818.4,34094439060.4,31414754638.8,28467535604,30313714707.5,29095550936.6,33514256077.2,33749025763.9,35984951348.3,41114859871.2,44559883685.7,29099132314.5,12961870578.5,15488724676.5,16472696892.7,19285648576.2,18827078062.4,21004058192,21467503622.2,24483680109.4,28635443558.6,32413454294.6,34396015775.3,43192879513.5,50451835887.9,54832397402
Tunisia,TUN,"External debt stocks, total (DOD, current US$)",,,,,,,,,,603200003.2,676455154.3,753125154.8,881771774.4,1008315139.3,1115794378.8,1290725427,2248212072.4,2954540544.1,3410535275.7,3533404839.2,3611172894,3777334492.5,4063243816.4,4097321562.8,4886601243.8,5944706612.9,6817910803,6800232969,6974803135.2,7689870905.1,8251258473.6,8542684831.5,8693836168.7,9614053659.6,10819480146.7,11379084345.6,11229245891,10845598411.7,11912144319.5,11355178322.9,12916170293.9,15490967168.9,18109300765.3,19560761997.4,17942271352.3,18725269505.9,20592295516.8,21473923229.5,22818070259.9,22579228975.4,22752159186.8,25373718641.5,25764175018.4,26937529353.6,27740576468.4,28893169828.3,34022286939.6,35116008785,37764460966.3
