Country Name,Country Code,Indicator Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,2400000,1860000,2160000,7540000,6690000,50000,-1170000,,1870000,2000000,37420000,49050000,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-1464627990.88284,-7120017424.4614,3657514667.49327,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63755
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,1200000,700000,1500000,-200000,5800000,5600000,3700000,-2845168.07135611,6084486.34383566,22757439.7367339,5343631.08528873,5781443.35245489,9153812.42838185,4469041.68570388,5149252.03381976,2991566.43558607,8160415.31776924,11898718.6498225,-3827452.80303765,1285233.01951129,697850.065105837,-4874038.73164914,-10676567.963142,-9980132.27944839,3602275.00892801,6200565.7641,10925575.5036,1497424.0537,7300593.9466,5976946.5274,889074.9126,5183898.8103,5644286.5587,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.8896,70035157.3289,1852792.6119,3475007.991,3000000,7256090.4839,6888751.4009,18003535.3903,25601157.4181
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,30700000,15700000,18700000,51000000,32600000,69060000,44780000,14650000,83310000,74750000,94660000,32750000,47470000,37530000,21740000,29160000,70750000,87510000,51700000,18490000,48434429.6917,18524885.9475,69053843.7127,175153533.4772,117538566.8357,211760840.4722,269194529.5884,415458076.4097,760099126.7086,235348766.1991,234701731.519,272679898.341,212580417.4534,165390571.2319,282979830.9625,349059586.543272,350964618.559397,443801751.423173,468377743.888902,397624744.268005,358468317.342002,301972462.517861,330255520.654571,407592122.101427,439356961.150901,494408755.776341,577871524.156215,975014998.795493,620330654.359791,1008704755.3518
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,80120000,600000,41490000,51000000,358000000,119000000,187000000,178452646.789187,135152172.302668,25692486.0358378,348669038.123928,13207259.3615813,-53569192.6448124,417641.162800209,802668.874073183,397788.2970683,5316528.3778563,3711537.89978504,13018265.0203164,12091646.7968636,334914.564224985,11638686.4524336,30000000,1000,1000,1000,270000000,260000000,606600000,291600000,280100000,1113105541,1064960000,637880000,881850000,1155999999.99995,1841000000.00008,1686736539.70385,2638607033.75183,2746930734.16534,2300369124.15828,2571237024.68517,1500402452.8635,1691886707.50796,1502206170.55838,-537792920.921856,1638263953.77737,1200965279.93224,1466082167.31,1381890089.621
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,680000,2310000,30000,700000,130000,8000000,61000000,104777603.416204,318166137.202863,1216285716.02327,548285715.06898,752571429.646531,293571428.990816,490000000.7,729142857.576871,1177571428.57143,1217428571.42857,947714285.714286,1190000000,1250181818.18182,734000000,253000000,459000000,493000000,1256000000,598000000,636000000,890550000,1076000000,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4612200000,6925200000,8106800000,7408700000,8141300000,9010100000
Kenya,KEN,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,13800000,7400000,6300000,17260000,23420000,17158747.4682439,46371850.8569701,56545225.6651086,34414129.6353199,84009903.2805679,78973745.6201712,14147557.1804225,13000894.9566675,23738842.6826748,10753527.417594,28845949.0411445,32725776.7881461,39381344.2023682,394430.639372066,62189917.2680637,57081096.1781558,18830976.8357173,6363133.1446811,145655517.114549,7432412.60236849,42289248.4582554,108672931.624341,62096809.7799305,26548245.9700464,51953455.9539555,110904550.399762,5302622.93940566,27618447.058206,81738242.6366213,46063931.4543862,21211685.395223,50674725.1830696,729054666.996781,95584970.6665382,116259380.95905,178064198.569626,1450460112.22249,1380167159.58831,1118819096.64435,820934459.324974,619719962.285828,678803416.953924,1266137282.66311,1625921130.62177,1332436904.48383
Morocco,MAR,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,20000000,23100000,13000000,5490000,-20400000,5020000,38014962.7431903,7994056.27289948,11759988.2428342,7437548.63717074,89416222.5895141,58581335.9912382,79528177.1036931,46123623.5045972,46989196.5550045,19975166.8598062,549182.496104443,59574900.7832664,84661627.5741094,167056032.101148,165122977.794538,317462140.572328,422470462.497987,491466064.599827,550924373.94834,334768272.8902,357393801.789474,1079341332.03085,308712164.430615,826974026.933263,426553283.860634,2824557251.52006,480355698.049863,2312829823.25089,893325392.835825,1670609688.92878,2460787164.18439,2825801376.44064,2466288357.37234,1970323920.01346,1240625859.11404,2521362080.65559,2841954371.38454,3360909924.36421,3525384612.43801,3252913902.35666,2153363904.93515,2680109856.21237,3544387229.27822,1599761097.97876
Mauritania,MRT,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,800000,4040000,2110000,9850000,3620000,-122702517.736017,1554786.7998946,4123975.17572434,2859463.85052803,63234733.3442284,27094083.3336738,12444137.6930377,14970300.8547559,1368321.82931921,8526200.30308129,6979308.55552842,4490756.30253107,1678435.26518826,1926632.93213602,3467748.73270641,6736220.52128174,2269792.0374231,7549402.91347201,16091938.1652377,2079708.67893992,6989378.50785376,-435540,-3329920,132643.000207808,15119460,40096000,76700000,67340352.3234,101957951.5645,404102025.7397,811869181.4046,154601638.1236,139372822.2997,342770661.9984,-3072044.396,130528391.3387,588749564.2399,1386098850.60853,1126004759.602,502589833.81816,501726765.733819,271134844.997291,588217194.758539,772890477.1915,-883561115.825519
Nigeria,NGA,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,205000000,286000000,305000000,373000000,257000000,470120000,339000000,440514242.45646,210933271.432604,309598869.22621,-738870004.370972,542327289.070406,430611256.454158,364434580.203909,189164784.859178,485581320.932238,193214907.534804,610552091.468468,378667097.69376,1884249738.78897,587882970.628472,712373362.47117,896641282.4724,1345368587.00054,1959219858.15603,335842164.964005,499276809.471007,469577019.807245,299566658.25891,1004915630.70932,1140167556.01589,1190618643.59162,1874070753.14014,2005353563.06398,1874060886.97608,4982533930.21739,4854353979.09081,6036021404.82071,8194071895.46245,8555990006.71682,6026253091.34715,8841062050.7726,7069908427.93651,5562857987.46966,4693828631.89583,3064168904.45333,4448732916.66666,3502999130.96667,1997485164.94833,3299085482.95932
Tunisia,TUN,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,16000000,23000000,33000000,58000000,28000000,45000000,109614599.98744,93250961.8679356,91308657.5215915,49205031.3354984,234594450.568507,295663767.442891,340281452.27431,184157540.886133,113280411.98953,107849549.88869,64229378.6437316,91714057.2911167,60619896.7324515,77950464.5865246,77419354.8387097,125456831.403864,525760373.874044,561897566.604951,432008501.769141,275971451.229183,238337799.313409,342704714.827179,650727787.657248,347320280.72246,750720443.574375,451514809.247852,790302916.627593,539481939.0098,592147521.67862,712714847.262546,3239909092.61659,1515345043.99628,2600674976.49755,1525244857.52902,1334497694.56476,432666011.578487,1554269128.7808,1058622582.18395,1024754443.57724,970521888.740203,622569482.161979,810936482.841998,988942901.040222,810173457.680643
